file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\scenes\TitleScene.java,com.shatteredpixel.shatteredpixeldungeon.scenes.TitleScene$ChangesButton,innerclass,13,13,0,13,10,4,0,15,1,0.33333334,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,15,38,0,0,2,0,0,6,5,4,3,2,1,1,0,0,19,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\actors\mobs\Elemental.java,com.shatteredpixel.shatteredpixeldungeon.actors.mobs.Elemental$FrostElemental,innerclass,7,7,0,7,7,5,0,7,1,0.0,0.0,0.0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,1,0,0,0,6,3,1,0,2,0,0,0,13,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\levels\rooms\standard\exit\HallwayExitRoom.java,com.shatteredpixel.shatteredpixeldungeon.levels.rooms.standard.exit.HallwayExitRoom,class,3,4,1,3,4,4,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,1,0,0,0,1,2,0,1,2,0,0,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\wands\WandOfBlastWave.java,com.shatteredpixel.shatteredpixeldungeon.items.wands.WandOfBlastWave$BlastWave,innerclass,3,3,0,3,6,2,0,11,8,0.6,0.1,0.1,5,2,5,0,0,0,5,0,0,0,3,1,0,3,0,0,1,0,1,36,0,0,0,0,6,0,8,11,15,6,1,0,0,0,30,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\ui\ExitButton.java,com.shatteredpixel.shatteredpixeldungeon.ui.ExitButton,class,9,19,10,9,5,4,0,6,6,0.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,4,21,2,0,0,0,0,1,2,2,0,0,1,0,0,0,14,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\food\PhantomMeat.java,com.shatteredpixel.shatteredpixeldungeon.items.food.PhantomMeat,class,6,10,4,6,4,3,0,8,3,0.0,0.0,0.0,3,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,5,20,1,0,0,0,0,0,5,3,5,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\levels\SewerLevel.java,com.shatteredpixel.shatteredpixeldungeon.levels.SewerLevel,class,30,32,2,30,32,9,1,23,91,0.9285714,0.0,0.0,14,1,8,0,6,0,15,0,0,0,2,2,2,0,0,0,2,0,6,155,18,1,8,0,0,3,39,6,2,3,2,2,2,0,86,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\effects\Speck.java,com.shatteredpixel.shatteredpixeldungeon.effects.Speck$Anonymous1,anonymous,2,2,0,2,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\armor\glyphs\Viscosity.java,com.shatteredpixel.shatteredpixeldungeon.items.armor.glyphs.Viscosity,class,8,12,4,8,2,6,0,2,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,1,92,2,0,0,0,0,0,1,2,0,1,0,0,2,0,15,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\scenes\AmuletScene.java,com.shatteredpixel.shatteredpixeldungeon.scenes.AmuletScene$Anonymous1,anonymous,6,6,0,6,1,1,0,6,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,3,0,0,0,0,1,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\actors\mobs\CrystalWisp.java,com.shatteredpixel.shatteredpixeldungeon.actors.mobs.CrystalWisp$LightBeam,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\scenes\AmuletScene.java,com.shatteredpixel.shatteredpixeldungeon.scenes.AmuletScene$Anonymous4,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\potions\exotic\PotionOfDragonsBreath.java,com.shatteredpixel.shatteredpixeldungeon.items.potions.exotic.PotionOfDragonsBreath$Anonymous1,anonymous,3,3,0,3,8,1,0,6,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,105,3,0,2,0,0,1,0,6,0,2,2,2,0,0,40,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\levels\HallsBossLevel.java,com.shatteredpixel.shatteredpixeldungeon.levels.HallsBossLevel$CenterPieceWalls,innerclass,4,4,0,4,5,2,0,5,1,0.5,0.0,0.0,2,0,1,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,25,1,0,2,0,0,0,82,10,0,3,2,0,0,0,17,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\sprites\FungalCoreSprite.java,com.shatteredpixel.shatteredpixeldungeon.sprites.FungalCoreSprite,class,6,6,0,6,11,6,0,10,8,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,4,48,1,0,4,0,0,0,16,8,15,2,2,0,0,0,33,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\artifacts\TimekeepersHourglass.java,com.shatteredpixel.shatteredpixeldungeon.items.artifacts.TimekeepersHourglass$hourglassRecharge,innerclass,6,6,0,6,9,4,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,1,1,3,0,3,0,7,4,4,1,3,0,0,0,24,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\wands\WandOfBlastWave.java,com.shatteredpixel.shatteredpixeldungeon.items.wands.WandOfBlastWave$Anonymous2,anonymous,2,2,0,2,4,1,0,4,0,0.0,0.0,0.0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,0,0,1,1,1,0,1,0,0,0,17,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\wands\WandOfBlastWave.java,com.shatteredpixel.shatteredpixeldungeon.items.wands.WandOfBlastWave$Anonymous1,anonymous,4,4,0,4,11,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,31,1,0,5,0,0,1,3,2,3,1,3,0,0,0,19,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\scenes\TitleScene.java,com.shatteredpixel.shatteredpixeldungeon.scenes.TitleScene$Anonymous5,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\scenes\TitleScene.java,com.shatteredpixel.shatteredpixeldungeon.scenes.TitleScene$Anonymous4,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\scenes\TitleScene.java,com.shatteredpixel.shatteredpixeldungeon.scenes.TitleScene$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\windows\WndClericSpells.java,com.shatteredpixel.shatteredpixeldungeon.windows.WndClericSpells$SpellButton$Anonymous2,anonymous,8,8,0,8,7,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,28,0,0,1,0,0,1,4,1,0,0,3,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\potions\brews\UnstableBrew.java,com.shatteredpixel.shatteredpixeldungeon.items.potions.brews.UnstableBrew,class,15,18,3,15,14,5,0,11,15,0.5714286,0.027777778,0.027777778,7,0,7,0,0,0,9,0,0,0,1,1,0,1,0,0,0,0,0,86,5,2,0,0,0,0,15,8,2,4,1,0,1,0,36,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\scenes\TitleScene.java,com.shatteredpixel.shatteredpixeldungeon.scenes.TitleScene$Anonymous2,anonymous,4,4,0,4,4,1,0,6,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,21,2,0,1,0,0,0,3,4,0,0,1,0,0,0,5,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\scenes\TitleScene.java,com.shatteredpixel.shatteredpixeldungeon.scenes.TitleScene$Anonymous1,anonymous,1,1,0,1,3,1,0,6,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,4,13,0,0,0,0,0,0,4,4,1,1,1,0,0,0,4,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\armor\ClassArmor.java,com.shatteredpixel.shatteredpixeldungeon.items.armor.ClassArmor,class,19,54,35,19,37,6,6,34,50,0.76923084,0.10989011,0.17582418,13,1,13,0,0,0,14,0,0,0,6,4,1,5,0,0,4,0,1,241,10,0,6,0,1,19,4,40,4,11,3,1,1,0,110,1025,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\SPD-classes\src\main\java\com\watabou\noosa\Halo.java,com.watabou.noosa.Halo,class,4,5,1,4,7,3,0,13,4,0.65000004,0.3,0.6,5,0,5,0,0,0,5,0,0,0,4,2,0,1,3,0,2,0,2,37,1,1,0,0,4,0,12,12,10,6,2,0,0,0,35,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\stones\StoneOfIntuition.java,com.shatteredpixel.shatteredpixeldungeon.items.stones.StoneOfIntuition,class,9,14,5,9,9,6,0,7,3,0.6666667,0.0,0.0,3,0,1,0,2,0,4,0,0,0,1,1,0,1,0,0,0,0,0,164,5,0,2,0,3,4,0,5,2,2,2,0,2,0,22,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\actors\buffs\GravityChaosTracker.java,com.shatteredpixel.shatteredpixeldungeon.actors.buffs.GravityChaosTracker,class,8,8,0,8,26,3,0,24,0,0.22222222,0.5,0.5,3,0,3,0,0,0,4,0,0,0,6,2,2,2,0,2,2,0,5,93,3,3,6,1,8,4,14,13,3,9,4,0,0,0,47,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\actors\hero\spells\HallowedGround.java,com.shatteredpixel.shatteredpixeldungeon.actors.hero.spells.HallowedGround$HallowedTerrain,innerclass,17,17,0,17,32,3,0,24,6,0.0,0.0,0.0,4,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,7,80,1,3,15,0,1,3,17,14,7,9,6,0,0,0,23,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\services\news\News.java,com.shatteredpixel.shatteredpixeldungeon.services.news.News$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\utils\GLog.java,com.shatteredpixel.shatteredpixeldungeon.utils.GLog,class,3,27,24,3,7,1,0,4,13,0.8095239,0.06666667,0.06666667,6,6,6,0,0,0,6,0,0,0,7,7,7,0,0,0,6,0,5,31,0,0,0,0,0,6,1,8,4,7,1,0,0,0,26,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\SPD-classes\src\main\java\com\watabou\input\InputHandler.java,com.watabou.input.InputHandler$Anonymous1,anonymous,0,0,0,0,4,1,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,8,0,0,8,8,0,0,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\actors\mobs\npcs\Blacksmith.java,com.shatteredpixel.shatteredpixeldungeon.actors.mobs.npcs.Blacksmith$Anonymous1$Anonymous2,anonymous,3,3,0,3,4,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,2,0,4,0,1,1,0,0,0,11,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\levels\rooms\standard\exit\CavesFissureExitRoom.java,com.shatteredpixel.shatteredpixeldungeon.levels.rooms.standard.exit.CavesFissureExitRoom,class,5,5,0,5,8,3,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,23,2,2,4,0,0,0,4,1,2,1,2,0,0,0,17,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\spells\PhaseShift.java,com.shatteredpixel.shatteredpixeldungeon.items.spells.PhaseShift$Recipe,innerclass,4,4,0,4,1,3,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,10,0,0,0,0,0,0,3,6,0,1,0,0,0,0,16,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\SPD-classes\src\main\java\com\watabou\noosa\audio\Music.java,com.watabou.noosa.audio.Music$Anonymous1$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\Stylus.java,com.shatteredpixel.shatteredpixeldungeon.items.Stylus,class,6,10,4,6,11,2,0,19,13,0.77777773,0.06666667,0.06666667,6,0,5,1,0,0,6,0,0,0,3,2,0,3,0,0,3,0,1,68,6,0,0,0,0,4,4,9,1,4,1,1,0,0,41,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\SPD-classes\src\main\java\com\watabou\noosa\BitmapText.java,com.watabou.noosa.BitmapText$Font,innerclass,5,5,0,5,29,2,0,12,24,0.85,0.0952381,0.14285715,8,2,5,1,2,0,7,0,0,0,5,1,5,0,0,0,1,0,0,118,6,8,5,0,1,1,19,44,13,29,5,0,0,0,55,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\actors\mobs\Mob.java,com.shatteredpixel.shatteredpixeldungeon.actors.mobs.Mob$Wandering,innerclass,5,5,0,5,15,1,0,15,6,1.0,0.0,0.0,4,0,1,0,3,0,4,0,0,0,1,1,1,0,0,0,1,0,1,42,6,1,3,0,1,1,6,8,3,2,3,0,0,0,45,4,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\scrolls\exotic\ScrollOfEnchantment.java,com.shatteredpixel.shatteredpixeldungeon.items.scrolls.exotic.ScrollOfEnchantment$WndGlyphSelect,innerclass,9,9,0,9,8,2,0,10,3,0.4166667,0.4,0.4,6,0,3,0,3,0,6,0,0,0,2,2,0,2,0,0,0,0,0,36,1,0,0,0,1,3,9,6,0,2,1,0,0,0,27,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\effects\TorchHalo.java,com.shatteredpixel.shatteredpixeldungeon.effects.TorchHalo,class,2,2,0,2,8,2,0,7,2,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,37,0,0,0,0,3,0,15,9,12,2,2,0,0,0,24,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\artifacts\HornOfPlenty.java,com.shatteredpixel.shatteredpixeldungeon.items.artifacts.HornOfPlenty$hornRecharge,innerclass,4,4,0,4,9,4,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,1,1,2,0,2,1,10,11,4,1,5,0,0,0,18,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\actors\hero\spells\MnemonicPrayer.java,com.shatteredpixel.shatteredpixeldungeon.actors.hero.spells.MnemonicPrayer,class,41,42,1,41,53,3,0,47,15,0.8333333,0.0,0.0,6,0,4,1,1,0,5,0,0,0,1,1,1,0,0,0,0,0,7,100,6,2,11,0,21,5,8,6,3,4,17,0,0,0,64,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\levels\CavesBossLevel.java,com.shatteredpixel.shatteredpixeldungeon.levels.CavesBossLevel$EntranceOverhang,innerclass,4,4,0,4,4,2,0,2,0,0.0,0.0,0.0,1,0,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,25,1,1,1,0,0,0,60,12,4,5,2,0,0,0,14,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\wands\WandOfBlastWave.java,com.shatteredpixel.shatteredpixeldungeon.items.wands.WandOfBlastWave$BlastWaveOnHit,innerclass,3,3,0,3,1,3,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\actors\hero\HeroAction.java,com.shatteredpixel.shatteredpixeldungeon.actors.hero.HeroAction$Buy,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\effects\Swap.java,com.shatteredpixel.shatteredpixeldungeon.effects.Swap,class,5,6,1,5,9,3,0,7,1,0.4,0.0,0.0,3,0,1,1,1,0,2,0,0,0,5,0,0,5,0,0,0,0,2,66,1,0,6,0,0,0,1,10,1,6,2,0,1,0,16,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\spells\TargetedSpell.java,com.shatteredpixel.shatteredpixeldungeon.items.spells.TargetedSpell$Anonymous1,anonymous,4,4,0,4,5,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,2,0,0,1,0,3,0,3,2,1,0,0,14,-1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\effects\particles\SacrificialParticle.java,com.shatteredpixel.shatteredpixeldungeon.effects.particles.SacrificialParticle,class,2,3,1,2,4,2,0,4,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,0,30,0,0,0,0,1,0,11,8,4,2,0,1,0,0,23,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\weapon\missiles\ThrowingSpike.java,com.shatteredpixel.shatteredpixeldungeon.items.weapon.missiles.ThrowingSpike,class,1,2,1,1,1,5,0,0,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,5,0,0,0,0,0,0,11,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\levels\rooms\standard\SegmentedLibraryRoom.java,com.shatteredpixel.shatteredpixeldungeon.levels.rooms.standard.SegmentedLibraryRoom,class,6,8,2,6,15,3,0,12,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,49,2,3,6,0,3,0,37,7,29,5,3,0,0,0,25,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\items\wands\CursedWand.java,com.shatteredpixel.shatteredpixeldungeon.items.wands.CursedWand$SummonMonsters,innerclass,6,6,0,6,3,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,1,0,0,0,1,0,0,0,1,0,0,0,14,9,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\actors\buffs\ScrollEmpower.java,com.shatteredpixel.shatteredpixeldungeon.actors.buffs.ScrollEmpower,class,4,6,2,4,12,3,0,11,3,0.5,0.38181818,0.38181818,10,0,10,0,0,0,11,0,0,0,2,1,0,2,0,0,1,0,2,44,4,0,0,0,1,2,8,4,2,2,1,0,0,0,28,1,0
c:\Users\bruno\OneDrive\Documentos\lab-experimentacao\lab2\.\java_repos\shattered-pixel-dungeon\core\src\main\java\com\shatteredpixel\shatteredpixeldungeon\levels\LastLevel.java,com.shatteredpixel.shatteredpixeldungeon.levels.LastLevel,class,14,14,0,14,50,5,0,27,83,0.85714287,0.028571429,0.028571429,14,0,11,0,3,0,15,0,0,0,4,4,1,3,0,0,3,0,12,247,17,8,5,0,11,7,66,46,45,19,2,0,3,0,87,1,0
